Food Name,Category,Spiciness,Rice/Noodle/Bread,Hot/Cold,Soup
국물닭발,한식(안주),o,밥,h,o
해물순두부,한식,o,밥,h,o
오설록,음료,x,,c ,
군밤,간식,x,,h,
붕어빵,간식,x,빵,h,
규동,일식,x,밥,h,x
편육,한식(안주),x,밥,c,x
쌀국수,베트남식,x,면,h,o
볶음밥,중식,x,밥,h,x
김치전,한식,o,밥,h,x
소갈비찜,한식,x,밥,h,x
동그랑땡,한식,x,밥,h,x
유자차,음료,x,,h,
송편,디저트 ,x,떡,c,
우삼겹,한식,x,밥,h,x
전병,한식,x,밥,h,x
스테키동,일식,x,밥,h,x
바나나맛우유,음료,x,,c,
감자떡,간식,x,떡,h,
맥심골드,음료,x,,h,
주먹김밥,한식,x,밥,h,x
갈치조림,한식,o,밥,h,x
안성국밥,한식,o,밥,h,o
호박나물,한식(반찬),x,밥,c,x
짜장밥,중식,x,밥,h,x
고구마,간식,x,,h,
마파두부,중식,o,밥,h,x
감자탕,한식,o,밥,h,o
육사시미,한식,x,밥,c,x
곱창전골,한식,o,밥,h,o
뚝배기 불고기,한식,x,밥,h,o
숙주나물,한식(반찬),x,밥,c,x
호떡,간식,x,,h,
참치김밥,한식,x,밥,c,x
타코야끼,일식,x,밥,h,x
참치뱃살,일식,x,밥,c,x
초코크림빵,디저트 ,x,빵,c,
떡국,한식,x,밥,h,o
약과,디저트 ,x,과자,c,
호박찌개,한식,o,밥,h,o
알탕,한식,o,밥,h,o
잡채,한식,x,밥,h,x
카레라이스,한식,x,밥,h,x
마크정식,분식,o,면,h,x
명란삼각김밥,한식,x,밥,h,x
녹차라떼,음료,x,,h,
꽃등심,한식,x,밥,h,x
함박스테이크,한식,x,밥,h,x
잡채밥,중식,x,밥,h,x
묵은지,한식(반찬),o,밥,c,x
토마토리조또,양식,x,밥,h,x
복숭아,디저트 ,x,과일,c,
맥반석 오징어,간식,x,구이,h,
라면,분식,o,면,h,o
파닭,한식,x,밥,h,x
찹쌀떡,간식,x,떡,c,
로이스초콜릿,디저트 ,x,초콜릿,c,
어포,간식,x,,c,
홍합탕,한식,x,밥,h,o
양구이,한식,x,밥,h,x
백설기,디저트 ,x,떡,c,
단호박죽,한식,x,밥,h,x
오감자칠리,간식,o,과자,c,
장조림,한식(반찬),x,밥,c,x
청국장,한식,x,밥,h,o
우동,일식,x,면,h,o
김칫국,한식,o,밥,h,o
야채곱창,한식,o,밥,h,x
몽쉘,디저트 ,x,빵,c,
오예스,디저트 ,x,빵,c,
꼬막,한식,x,밥,c,x
돼지껍데기,한식(안주),x,밥,h,x
빈대떡,한식,x,밥,h,x
샤브샤브,한식,x,밥,h,o
오리훈제구이,한식,x,밥,h,x
아침햇살,음료,x,,c,
아구찜,한식,o,밥,h,x
전복구이,한식,x,밥,h,x
항정살,한식,x,밥,h,x
무뼈닭발,한식(안주),o,밥,h,x
산낙지,한식,x,밥,c,x
생간,한식,x,밥,c,x
뻥튀기,간식,x,과자,c,
찰보리밥,한식,x,밥,h,x
고구마스틱,간식,x,과자,c,
삼각커피우유,음료,x,,c,
카스타드,디저트 ,x,빵,c,
육회,한식,x,밥,c,x
라볶이,분식,o,떡,h,x
제육볶음,한식,o,밥,h,x
취나물,한식(반찬),x,밥,c,x
꼬꼬면,한식,o,면,h,o
오이냉국,한식,x,밥,c,o
짜글이,한식,o,밥,h,o
소고기야채죽,한식,x,밥,h,x
닭갈비,한식,o,밥,h,x
쭈꾸미볶음,한식,o,밥,h,x
꼬마김밥,분식,x,밥,c,x
찹쌀탕수육,중식,x,튀김,h,x
카레,일식,x,밥,h,x
양대창,한식,x,밥,h,x
가츠동,일식,x,밥,h,x
밥버거,분식,x,밥,h,x
갓김치,한식(반찬),o,밥,c,x
틈새라면,한식,o,면,h,o
계란찜,,x,,h,o
매운탕,한식,o,밥,h,o
홍어무침,한식,o,밥,c,x
꿔바로우,중식,x,튀김,h,x
곶감,간식,x,,c,
표고버섯볶음,한식(반찬),x,밥,h,x
오이김치,한식(반찬),o,밥,c,x
셀렉션,디저트 ,x,아이스크림,c,
두유,음료,x,,c,
주먹밥,한식,x,밥,h,x
립,,x,,h,x
고르곤졸라 피자,양식,x,빵,h,x
꽃게랑,간식,x,과자,c,
고기만두,한식,x,밥,h,x
감자수제비,한식,x,밥,h,o
왕만두,중식,x,밥,h,x
참치마요,한식,x,밥,c,x
고기육수,한식,x,밥,h,o
규카츠,일식,x,밥,h,x
라멘,일식,x,면,h,o
낙지호롱구이,한식,x,밥,h,x
떡만두국,한식,x,밥,h,o
초코퍼지,디저트 ,x,,h,
기름떡볶이,한식,x,밥,h,x
염통,한식,x,밥,h,x
메로나,디저트 ,x,아이스크림,c,
불초밥,한식,x,밥,h,x
잡채,한식,x,면,h,x
스파클링와인,음료(술),x,,c,
부대찌개,한식,o,밥,h,o
부추김치,한식(반찬),o,밥,c,x
천엽,한식,x,밥,c,x
간짜장,중식,x,면,h,x
꽃게탕,한식,o,밥,h,o
팥빙수,디저트 ,x,아이스크림,c,
고구마피자,양식,x,빵,h,x
아구탕,한식,o,밥,h,o
내장볶음,한식,x,밥,h,x
두부김치,한식,x,밥,h,x
비름나물,한식(반찬),x,밥,c,x
조개구이,한식,x,밥,h,x
목살,한식,x,밥,h,x
스테이크,양식,x,,h,x
버섯전골,한식,x,밥,h,o
간장치킨,한식,x,밥,h,x
스프링롤,베트남식,x,,h,x
북어탕,한식,x,밥,h,o
치즈곱창,한식,x,밥,h,x
쭈꾸미 숙회,한식,x,밥,c,x
인절미,간식,x,떡,c,x
쌈무,한식(반찬),x,밥,c,x
민물장어,한식,x,밥,h,x
간,한식,x,밥,c,x
인절미빙수,디저트 ,x,아이스크림,c,
